idx,transaction_id,user_id,transaction_date,product_category,product_name,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method,transaction_status,merchant_id,device_type,location
20,bca4e221-9bdf-42cb-a942-3114a1a99d26,USER_05710,8/19/2023 19:41,Taxi Fare,Share Ride,Ola,8996,35.05,14.66,779,Bank Transfer,Successful,MERCH_0685,Android,Urban
21,befc7860-dbb1-4199-b811-78bf300e8fac,USER_03731,8/19/2023 20:14,Gaming Credits,500 Gems Pack,Roblox,1558.03,33.53,96.45,254,Credit Card,Successful,MERCH_0885,Android,Urban
22,0604871b-fa4a-47c7-99b9-08d6f0ca1694,USER_01167,8/19/2023 20:29,Water Bill,Industrial Use,Delhi Jal Board,2699.87,14.68,54.23,773,Bank Transfer,Successful,MERCH_0760,Android,Rural
23,de059321-5969-47fa-87b7-80fa8b42b1f5,USER_06153,8/20/2023 1:59,Bus Ticket,AC Seater,MakeMyTrip Bus,2991.37,15.24,63.7,468,Debit Card,Successful,MERCH_0330,Web,Suburban
24,f0e55577-5c44-4302-b449-e683048c0933,USER_01839,8/20/2023 2:57,Rent Payment,Commercial Space Rent,Nestaway,5262.91,21.94,15.7,519,Debit Card,Successful,MERCH_0534,Android,Urban
25,3cdc897e-ddf6-448f-afa1-a106f526c490,USER_09865,8/20/2023 3:45,Online Shopping,Smart LED TV,Flipkart,7076.38,19.16,41.87,202,Wallet Balance,Successful,MERCH_0709,iOS,Urban
26,afd33884-7710-49dd-9614-94183349e924,USER_05566,8/20/2023 6:14,Flight Booking,Chennai to Hyderabad,Yatra,2956.08,8.75,20.1,556,Wallet Balance,Successful,MERCH_0153,Android,Suburban
27,44fedfd8-fb02-40b4-bdbf-63edb858fa54,USER_04900,8/20/2023 6:47,Loan Repayment,Car Loan Installment,Axis Bank,6916.55,37.41,50.01,616,Unified Payments Interface,Successful,MERCH_0009,Android,Suburban
28,605a199d-a832-465b-a400-e6b5437648bc,USER_06975,8/20/2023 7:57,Taxi Fare,Share Ride,Ola,5642.55,33.5,23.13,38,Bank Transfer,Successful,MERCH_0838,Web,Rural
29,285097f5-0d74-48d2-aa0b-a275fe8efba8,USER_08737,8/20/2023 13:14,Gas Bill,Commercial Gas Connection,Mahanagar Gas,9734.95,48.71,87.78,447,Unified Payments Interface,Successful,MERCH_0390,Android,Urban
30,8c4c95f8-beb1-4e3e-aeb3-4b0819737ff0,USER_08347,8/20/2023 15:20,Electricity Bill,Residential Bill,MSEDCL,5330.34,23.13,10.81,83,Credit Card,Successful,MERCH_0043,iOS,Urban
31,21f58dc1-a3d7-4908-a39c-414159c98fc6,USER_06829,8/20/2023 16:29,Taxi Fare,Share Ride,Jugnoo,2014.63,23.48,92.5,370,Wallet Balance,Successful,MERCH_0074,Android,Urban
32,de86f9f1-445a-4dde-aabd-deef2df138aa,USER_04117,8/20/2023 17:38,Water Bill,Commercial Property,Hyderabad Water Board,1296.33,43.54,87.9,698,Debit Card,Successful,MERCH_0448,Android,Urban
33,7d56f6fd-d46f-4190-b0e9-7d9325acb998,USER_06155,8/20/2023 17:40,Electricity Bill,Agricultural Bill,Tata Power,9313.74,44.37,16.47,594,Bank Transfer,Successful,MERCH_0203,Android,Rural
34,4f021a7b-65cc-4ef6-a04d-e167e1065cf1,USER_00051,8/20/2023 17:50,Bus Ticket,Non-AC Seater,RedBus,5369.35,27.45,64.16,424,Wallet Balance,Successful,MERCH_0785,Android,Urban
35,74260736-2a8f-404d-9930-1adbd11a51f5,USER_00930,8/20/2023 18:16,Internet Bill,4G Unlimited Plan,Jio Fiber,1760.92,38.5,86.45,280,Bank Transfer,Successful,MERCH_0630,Web,Rural
36,21e59b9f-b4a9-4fd8-adce-a57057a545ca,USER_03591,8/20/2023 19:48,Insurance Premium,Health Insurance,Max Life,5183.52,35.92,41.85,806,Unified Payments Interface,Successful,MERCH_0074,Android,Urban
37,5de783a7-99b5-4683-87c1-bf72d64670d2,USER_02590,8/20/2023 19:50,Internet Bill,Business Internet Plan,ACT Fibernet,8721.2,34.19,70.07,877,Credit Card,Successful,MERCH_0547,Android,Urban
38,6c95f122-a5b1-4442-9ac8-f5a67dd5135b,USER_03043,8/20/2023 19:51,Gaming Credits,Legendary Weapon,Call of Duty Mobile,7975.27,3.56,18.94,349,Bank Transfer,Successful,MERCH_0251,Android,Suburban
39,9664d413-bda2-4fb3-93b3-4fdf71b21db2,USER_03935,8/20/2023 21:03,Movie Ticket,Baahubali 2,Carnival Cinemas,5741.96,24.87,3.55,60,Unified Payments Interface,Successful,MERCH_0245,Android,Urban
40,df8b2e25-91bf-46dc-b957-792c0263a108,USER_03336,8/20/2023 22:06,Loan Repayment,Business Loan Repayment,ICICI Bank,2578.28,35.06,59.04,78,Bank Transfer,Successful,MERCH_0073,Android,Urban
41,cc8f3f25-e5d4-4a64-8e4c-cfee5ea2a457,USER_03325,8/20/2023 22:20,Insurance Premium,Travel Insurance,Max Life,3855.29,23.46,73.61,117,Unified Payments Interface,Successful,MERCH_0191,iOS,Urban
42,9ee6dff1-6cdd-4064-b47d-2067cbb47cdc,USER_03528,8/20/2023 23:10,Mobile Recharge,Postpaid Plan 599,Airtel,1446.76,6.15,75.16,684,Debit Card,Successful,MERCH_0585,iOS,Suburban
43,8719b96a-6086-4f72-98bf-f6335914e076,USER_01473,8/21/2023 0:57,Gas Bill,Piped Natural Gas,Bharat Gas,3090.15,20.3,32.99,714,Debit Card,Successful,MERCH_0212,Android,Urban
44,a49a8965-6d55-4e13-98f4-36661b81f1a4,USER_03895,8/21/2023 1:16,Water Bill,Tanker Supply,Hyderabad Water Board,1203.62,32.45,73.95,961,Debit Card,Successful,MERCH_0336,Web,Urban
45,2917e610-b1c6-4a49-b940-5f7682ba3de3,USER_00326,8/21/2023 3:53,Grocery Shopping,Dairy Milk Chocolate,Amazon Pantry,372.6,6.61,67.38,379,Unified Payments Interface,Successful,MERCH_0078,Android,Suburban
46,96a6b661-3c78-4087-8eae-0778807f166f,USER_06052,8/21/2023 4:27,Movie Ticket,3 Idiots,INOX,7393.64,33.05,80.36,415,Bank Transfer,Successful,MERCH_0901,Android,Rural
47,18ac44cc-1777-4f82-8e92-04df16a0a574,USER_03700,8/21/2023 4:58,Water Bill,Commercial Property,Bangalore Water Supply,6326.46,8.23,64.76,909,Unified Payments Interface,Successful,MERCH_0125,iOS,Suburban
48,47775074-9ead-411e-97e1-bf5f8963bd3a,USER_07984,8/21/2023 5:28,Loan Repayment,Education Loan EMI,HDFC Bank,1044.85,3.6,95.47,769,Debit Card,Successful,MERCH_0797,Android,Urban
49,e17e46de-179d-4121-8f04-281707bb266f,USER_04870,8/21/2023 5:49,Taxi Fare,Rental Package,Uber,408.34,9.82,99.57,153,Credit Card,Successful,MERCH_0319,Android,Suburban
50,8699033b-6e9b-4b73-ae98-a52c18689681,USER_04742,8/21/2023 7:53,Rent Payment,Co-working Space,OYO Life,8783.03,47.7,51.8,373,Bank Transfer,Successful,MERCH_0322,iOS,Rural
51,00871c8f-0165-461d-b964-f304945f5c43,USER_08741,8/21/2023 15:14,Mobile Recharge,Postpaid Plan 599,Idea,9654.79,30.42,44.61,602,Debit Card,Successful,MERCH_0459,Android,Rural
52,5e16a7ef-d73b-4b08-b6af-b0b62da311ce,USER_07974,8/21/2023 16:33,Grocery Shopping,Dairy Milk Chocolate,Flipkart Supermart,4910.93,40.94,48.52,804,Credit Card,Successful,MERCH_0441,Android,Suburban
53,84c3923a-9bda-453f-b1ad-79443809ba31,USER_05484,8/21/2023 17:00,Food Delivery,Pizza Margherita,Uber Eats,7012.4,40.47,47.37,872,Wallet Balance,Successful,MERCH_0149,Android,Urban
54,c954a858-47f4-41e2-b819-ddc5657f9396,USER_07662,8/21/2023 17:24,Gas Bill,Piped Natural Gas,Mahanagar Gas,6464.24,1.28,81.33,281,Debit Card,Successful,MERCH_0284,Web,Urban
55,6c504144-bc57-4aea-b147-75828ee0ecf3,USER_01404,8/21/2023 19:32,Loan Repayment,Home Loan EMI,ICICI Bank,9828.97,21.55,50.04,414,Unified Payments Interface,Successful,MERCH_0390,Android,Urban
56,808a2684-9ed7-4eb7-800c-bac0e9b1060c,USER_06644,8/21/2023 19:43,Taxi Fare,Airport Transfer,Rapido,4849.13,46.72,88.66,859,Bank Transfer,Successful,MERCH_0591,iOS,Urban
57,52db58bf-eed3-4b9d-9b1e-3a2a9b6d8721,USER_03963,8/21/2023 21:05,Taxi Fare,Outstation Trip,Rapido,7078.24,29.32,92.22,533,Bank Transfer,Successful,MERCH_0619,Android,Urban
58,00f91c69-dd8e-46d4-aa46-1f2ede1ae03f,USER_02160,8/22/2023 2:57,Streaming Service,Family Subscription,Netflix,748.75,21.57,34.34,344,Debit Card,Successful,MERCH_0285,Android,Urban
59,a8abfc85-840a-458b-bcd8-39f95bb165bd,USER_00509,8/22/2023 5:04,Internet Bill,Business Internet Plan,BSNL Broadband,615.89,11.53,21.79,777,Unified Payments Interface,Successful,MERCH_0302,Android,Urban
60,47baa94d-ac4b-43b8-bb2c-bdfc9daee056,USER_05421,8/22/2023 10:37,Taxi Fare,Outstation Trip,Rapido,96.7,39,72.11,115,Wallet Balance,Successful,MERCH_0829,Android,Urban
61,1e134359-c55f-4fc6-b0e5-7d4c7158879e,USER_00536,8/22/2023 10:47,Gaming Credits,1000 Game Coins,Minecraft,8716.7,49.55,11.57,397,Wallet Balance,Successful,MERCH_0119,Android,Urban
62,635ee358-09fb-4a46-88b7-335efd707019,USER_03732,8/22/2023 13:11,Online Shopping,Smart LED TV,Myntra,3771.14,39.58,91.57,547,Unified Payments Interface,Successful,MERCH_0480,Android,Urban
63,83aeda7a-1c4c-4e71-a515-efd6740618a1,USER_00058,8/22/2023 15:49,Grocery Shopping,Whole Wheat Atta,Flipkart Supermart,6031.6,22.93,31.89,207,Unified Payments Interface,Successful,MERCH_0624,Android,Urban
64,cb1ff977-2e9d-48ec-b618-4948d111c813,USER_01431,8/22/2023 16:21,Electricity Bill,Residential Bill,Reliance Energy,8108.09,13.2,36.14,867,Wallet Balance,Successful,MERCH_0601,Android,Urban
65,a66a9084-57da-45f7-9cf8-92de6697842f,USER_01569,8/22/2023 20:00,Water Bill,Industrial Use,Chennai Metro Water,3424.46,27.19,3.46,831,Unified Payments Interface,Successful,MERCH_0437,Web,Suburban
66,acac4704-f738-40bb-8fa0-142fbe573f11,USER_09093,8/22/2023 20:38,Internet Bill,4G Unlimited Plan,Hathway,5695.92,23.35,80.13,808,Debit Card,Successful,MERCH_0681,iOS,Urban
67,39ea71e9-0242-43a5-9f0d-175be8256783,USER_08679,8/22/2023 22:04,Gas Bill,Auto LPG,Mahanagar Gas,9067.49,16.75,51.84,719,Debit Card,Successful,MERCH_0819,Android,Suburban
68,168725dc-9b7a-4ff8-bf54-4d9ce807e19d,USER_03820,8/22/2023 22:29,Streaming Service,Standard Plan,Amazon Prime,1188.69,32.07,46.51,490,Unified Payments Interface,Successful,MERCH_0513,Android,Suburban
69,0c4f5080-dcac-4d1c-819f-176e7cce31c9,USER_03468,8/22/2023 23:43,Rent Payment,1BHK Apartment Rent,Housing.com,2938.73,12.92,46.18,481,Bank Transfer,Successful,MERCH_0544,iOS,Suburban
70,426bca1b-356b-4edb-ab58-d088ede0c452,USER_02224,8/23/2023 0:17,Mobile Recharge,Postpaid Plan 599,Vodafone,4677.06,23.8,89.05,803,Unified Payments Interface,Successful,MERCH_0152,Android,Urban
71,25ccf0fc-2bd7-41c7-9cfc-958d94fa04f3,USER_04519,8/23/2023 0:40,Gift Card,Rs. 1000 Shopping Voucher,Amazon Pay,4691.67,38.55,80.81,981,Debit Card,Successful,MERCH_0005,Android,Suburban
72,9899fbca-3c68-4ff4-bea0-503b314d3bbf,USER_00916,8/23/2023 2:01,Food Delivery,Vegetable Biryani,Foodpanda,857.92,41.42,44.5,43,Credit Card,Successful,MERCH_0049,Android,Urban
73,0cfe9cd0-9ea2-4806-87af-5071fb1164d3,USER_06348,8/23/2023 3:27,Online Shopping,Fitness Tracker,Nykaa,8391.75,31.98,99.29,514,Bank Transfer,Successful,MERCH_0211,Android,Urban
74,22758c91-67ea-4d7e-b322-6b8a83b84af4,USER_01868,8/23/2023 3:31,Water Bill,Commercial Property,Mumbai Water,9128.09,9.06,47.54,337,Debit Card,Successful,MERCH_0822,Web,Urban
75,6678a8d5-2dba-4f0f-9cf6-43d161bc5fb1,USER_00724,8/23/2023 5:31,Movie Ticket,3 Idiots,SPI Cinemas,3426.77,10.67,39.77,739,Debit Card,Successful,MERCH_0526,Android,Urban
76,43b737f4-cafa-45ed-8228-ceb8e65c9b0f,USER_09458,8/23/2023 8:40,Streaming Service,Standard Plan,Hotstar,8125.43,31.15,75.32,916,Bank Transfer,Successful,MERCH_0255,Android,Rural
77,60969ae0-ecfb-417a-906a-d70e28217aa8,USER_06794,8/23/2023 10:11,Movie Ticket,Baahubali 2,Cinepolis,6496.05,10.27,1.54,117,Bank Transfer,Successful,MERCH_0717,Web,Urban
78,9a61b969-b9c9-4410-ae55-f4c6b75d0dec,USER_01317,8/23/2023 13:08,Movie Ticket,Baahubali 2,Cinepolis,1422.16,2.7,23.37,745,Debit Card,Successful,MERCH_0188,Web,Urban
79,9ffbce7d-aee4-49f1-ad5b-96d9aedd8b2d,USER_02077,8/23/2023 15:48,Flight Booking,Chennai to Hyderabad,MakeMyTrip,7018.18,14.38,1.93,130,Credit Card,Successful,MERCH_0025,Android,Urban
80,3c13b19f-2f7b-498f-b6c6-0adcfe40ced7,USER_06845,8/23/2023 16:38,Insurance Premium,Travel Insurance,HDFC Life,4475.4,22.64,31.02,689,Debit Card,Successful,MERCH_0836,Android,Urban
81,84a993d2-9b6f-493f-aaa9-62e3d4cc962e,USER_02524,8/23/2023 17:36,Electricity Bill,Industrial Bill,Reliance Energy,4375.35,27.17,79.1,85,Bank Transfer,Successful,MERCH_0059,Android,Urban
82,cc7a63eb-0a28-4e2c-99b0-02a2eeae579e,USER_05459,8/23/2023 20:10,Loan Repayment,Home Loan EMI,SBI,4527.36,44.44,43.92,771,Debit Card,Failed,MERCH_0086,Android,Urban
83,7d4f7a40-7cfe-46ea-b571-cb8ee2abf504,USER_06965,8/23/2023 23:07,Loan Repayment,Business Loan Repayment,Bajaj Finserv,7892.35,1.59,10.34,712,Debit Card,Successful,MERCH_0914,iOS,Urban
84,8e6df4d4-ceab-4d18-9b75-ffcd11b5c7ea,USER_02936,8/24/2023 3:27,Mobile Recharge,Data Pack 50GB,Vodafone,2668.82,16.31,8.45,100,Unified Payments Interface,Successful,MERCH_0536,Android,Urban
85,ebb45909-84df-4194-bef3-962d57057118,USER_00889,8/24/2023 3:32,Education Fee,MBA Entrance Prep,Udemy,4355.66,28.61,1.15,368,Bank Transfer,Successful,MERCH_0028,iOS,Urban
86,170e38cd-a189-43e2-b456-690b23530762,USER_02268,8/24/2023 5:04,Flight Booking,Ahmedabad to Jaipur,Yatra,5080.37,18.86,61.96,536,Credit Card,Successful,MERCH_0292,iOS,Urban
87,61260ac9-dcc4-4ccc-805a-34851d9ef170,USER_06110,8/24/2023 5:46,Mobile Recharge,Annual Plan 2999,Jio,8451.05,5.48,6.55,265,Credit Card,Successful,MERCH_0796,Android,Urban
88,adc8bd1c-be9f-4fa8-a3ca-f775fdbb0f22,USER_06578,8/24/2023 6:02,Bus Ticket,Volvo Multi-Axle,Goibibo,12.86,36.32,18.54,271,Credit Card,Successful,MERCH_0924,Web,Urban
89,7f1d662c-9364-4eb3-b4f5-4ad650c2e20e,USER_03529,8/24/2023 9:32,Grocery Shopping,Whole Wheat Atta,BigBasket,1445.33,18.06,53.29,995,Credit Card,Successful,MERCH_0426,iOS,Urban
90,f610c322-a508-4355-98ce-33445eb69523,USER_03485,8/24/2023 9:55,Water Bill,Industrial Use,Hyderabad Water Board,3635.8,5.49,16.98,506,Credit Card,Successful,MERCH_0599,Android,Urban
91,6673b919-54d6-4825-9541-bf4ee0dc45cf,USER_00515,8/24/2023 13:18,Internet Bill,Student Special Plan,Jio Fiber,9480.13,13.75,66.23,765,Credit Card,Successful,MERCH_0376,Android,Urban
92,1d198dd3-4497-49a4-94c7-b497d5fcece2,USER_02129,8/24/2023 15:15,Bus Ticket,AC Seater,Goibibo,7517.7,21.91,94.53,777,Wallet Balance,Successful,MERCH_0783,Android,Urban
93,8ca6ee36-88d6-4043-9a1e-519aeb605439,USER_08642,8/24/2023 17:22,Internet Bill,4G Unlimited Plan,Jio Fiber,2207.77,43.56,1.96,974,Wallet Balance,Successful,MERCH_0557,iOS,Suburban
94,03fb579e-7991-437f-acbf-dd38fe90f0bc,USER_00975,8/24/2023 18:51,Food Delivery,Butter Chicken,Uber Eats,3366.31,2.87,75.32,301,Bank Transfer,Successful,MERCH_0183,Android,Urban
95,d93c9be7-2479-40cc-b713-623445d05a8b,USER_06105,8/24/2023 20:49,Rent Payment,2BHK Flat Deposit,Nestaway,1238.04,31.05,7.53,215,Unified Payments Interface,Successful,MERCH_0193,iOS,Suburban
96,715acd61-6496-4194-ba93-22a4b228bdeb,USER_05483,8/24/2023 21:08,Streaming Service,Basic Plan,ZEE5,6361.03,6.08,16.61,185,Debit Card,Successful,MERCH_0351,Android,Suburban
97,40e89260-61f0-45b9-a954-c3e7cbd01b79,USER_03020,8/24/2023 21:35,Food Delivery,Masala Dosa,Domino's,2966.49,36.57,25.29,17,Bank Transfer,Successful,MERCH_0314,Web,Urban
98,72138383-1979-4b0f-81d7-e20ebdf5129d,USER_00836,8/24/2023 21:56,Food Delivery,Pizza Margherita,Uber Eats,8591.59,40.07,8.79,639,Credit Card,Successful,MERCH_0491,Android,Urban
99,fb934c08-e907-4740-b126-e8daee9de730,USER_09219,8/25/2023 4:08,Education Fee,MBA Entrance Prep,Coursera,4804.37,47.31,34.84,59,Unified Payments Interface,Successful,MERCH_0180,Android,Urban
100,143f29df-0a6a-4727-925e-6cca851dae2e,USER_02867,8/25/2023 4:10,Water Bill,Tanker Supply,Bangalore Water Supply,7572.76,23.8,4.28,743,Unified Payments Interface,Successful,MERCH_0756,iOS,Suburban
101,888c2a00-0231-46d2-987b-52dc958841ec,USER_08415,8/25/2023 4:37,Streaming Service,Premium Plan,Hotstar,5841.56,33.2,5.62,657,Debit Card,Successful,MERCH_0437,Web,Urban
102,ba1f953e-8b17-42f0-b56d-2d41c56bad15,USER_00933,8/25/2023 6:56,Electricity Bill,Agricultural Bill,Reliance Energy,5060.4,40.23,34.4,808,Bank Transfer,Successful,MERCH_0264,Web,Urban
103,a32f6789-1017-42f3-b062-58ef375ee45c,USER_00664,8/25/2023 8:08,Education Fee,MBA Entrance Prep,Coursera,4355.66,28.61,31.55,741,Bank Transfer,Successful,MERCH_0406,Android,Urban
104,ce3fe22f-cdea-4f6e-8aa7-61de0a5e972e,USER_06850,8/25/2023 9:58,Water Bill,Commercial Property,Chennai Metro Water,6139.37,24.65,35.73,105,Credit Card,Successful,MERCH_0848,Android,Urban
105,1cbaa2fc-8f34-4018-b506-8a360c1d6475,USER_09242,8/25/2023 10:33,Mobile Recharge,Family Plan 999,Vodafone,311.14,24.2,73.73,470,Debit Card,Successful,MERCH_0572,iOS,Urban
106,bce627c9-674e-47b6-9f7e-b61fb544044a,USER_06733,8/25/2023 14:43,Grocery Shopping,Basmati Rice,BigBasket,4241.54,38.1,37.51,140,Credit Card,Successful,MERCH_0034,iOS,Urban
107,2947f5ec-ff21-402b-9200-7832ac7e61f1,USER_01196,8/25/2023 15:14,Grocery Shopping,Dairy Milk Chocolate,Grofers,4811.07,24.01,32.74,46,Credit Card,Successful,MERCH_0345,Android,Urban
108,5f9105a1-e033-4c89-a0c7-b36e5a4d8f82,USER_02750,8/25/2023 15:37,Gift Card,Rs. 500 E-Gift Card,Shoppers Stop,4397.95,25.99,78.2,356,Debit Card,Successful,MERCH_0969,Android,Urban
109,235a52fc-8f79-4789-8c06-6a9f81b56623,USER_05320,8/25/2023 16:25,Online Shopping,Smart LED TV,Snapdeal,7395.31,23.91,39.39,798,Debit Card,Successful,MERCH_0606,Android,Suburban
110,f5ff3d6b-e547-4ebc-812c-01bc514c433d,USER_09262,8/25/2023 19:43,Electricity Bill,Commercial Bill,CESC,7602.07,34.42,82.11,849,Unified Payments Interface,Successful,MERCH_1000,iOS,Urban
111,18339e65-28ba-45e2-9397-00bfe77fcd3a,USER_06818,8/25/2023 21:13,Streaming Service,Family Subscription,ZEE5,6337.18,6.01,99.34,679,Credit Card,Successful,MERCH_0844,iOS,Rural
112,57914abe-f1bd-4116-9afc-e1074063055e,USER_01268,8/25/2023 21:29,Taxi Fare,City Ride,Ola,3692.3,6.02,95.87,929,Bank Transfer,Successful,MERCH_0482,iOS,Urban
113,10f98de1-14e0-4952-9299-d7b50aa15116,USER_09924,8/26/2023 2:13,Grocery Shopping,Basmati Rice,Grofers,1142.21,35.62,42.15,124,Wallet Balance,Failed,MERCH_0943,Android,Urban
114,88a1ef00-835b-48f6-b90a-0ca92b66ac92,USER_07258,8/26/2023 3:26,Education Feet,Python Programming Course,Unacademy,285.88,45.46,12.95,75,Unified Payments Interface,Successful,MERCH_0453,Android,Urban
115,b6c8af37-54dc-411d-b73a-76a21e357c44,USER_09996,8/26/2023 7:11,Gas Bill,Auto LPG,Adani Gas,4850.57,18.27,72.06,772,Wallet Balance,Successful,MERCH_0801,iOS,Suburban
116,a72a5904-076a-4c16-8165-faed98b68857,USER_03718,8/26/2023 7:19,Gift Card,Rs. 2000 Gift Voucher,Shoppers Stop,2561.56,17.73,85.84,601,Credit Card,Successful,MERCH_0827,iOS,Urban
117,368ad102-1fe8-46dc-a6e9-2a16f64c9bda,USER_02774,8/26/2023 10:05,Mobile Recharge,Postpaid Plan 599,BSNL,7444.55,31.44,6,713,Bank Transfer,Successful,MERCH_0941,iOS,Suburban
118,9815933b-6c87-47fe-a4b1-ea41f04263fe,USER_02811,8/26/2023 14:47,Streaming Service,Basic Plan,Hotstar,4107.54,48.36,74.12,287,Wallet Balance,Successful,MERCH_0142,Android,Urban
119,504068e1-a370-475b-b6a4-c7131ab8eb84,USER_02102,8/26/2023 15:51,Gift Card,Rs. 2000 Gift Voucher,Lifestyle,8138.42,11.22,37.25,26,Wallet Balance,Successful,MERCH_0815,iOS,Suburban
120,d92fb4ec-d9a1-4794-b9cf-b112a5a0aab0,USER_09149,8/27/2023 0:08,Taxi Fare,Share Ride,Jugnoo,7753.32,14.2,51.88,10,Debit Card,Successful,MERCH_0581,iOS,Suburban
121,9235978d-ae31-4cc4-9817-22465579cbad,USER_02898,8/27/2023 2:29,Electricity Bill,Residential Bill,BSES,401.62,34.59,49.53,974,Credit Card,Successful,MERCH_0244,Web,Urban
122,83bda7d0-5268-42ea-bbf8-7bfcdb9abc11,USER_03240,8/27/2023 4:36,Gaming Credits,1000 Game Coins,PUBG Mobile,9798.21,10.88,74.99,648,Bank Transfer,Successful,MERCH_0201,iOS,Urban
123,8e5b30fc-e06c-42bc-9bd6-3f539bdb32a0,USER_02003,8/27/2023 5:18,Insurance Premium,Home Insurance,Max Life,3219.31,30.47,16.05,184,Wallet Balance,Successful,MERCH_0591,iOS,Urban
124,4924c4f6-ec58-4949-9361-52cf108ffed8,USER_00265,8/27/2023 12:26,Loan Repayment,Business Loan Repayment,Axis Bank,7838.24,38.64,2.2,320,Debit Card,Successful,MERCH_0037,iOS,Urban
